"Name"
Szampan
Ale jazz!
Etc. (na disco)
Melodia
Ten stan
2:00
Kolońska i szlugi
Oczy
Królowa Dram
No sory
Siebie Zapytasz
To koniec
Cząstka
projekt nieznajomy nie kłamie
Co ja robię tutaj
Proszę pana
duszki
Warcaby
bez słów
Irenka
Pożal się Boże
Pora roku zła
Sama
Puk puk
Wars
To ja a nie inna
Interludium
Oto cała ja
Idź
Mamo tyś płakała
To był dobry dzień
Tęsknię sobie
Łezki me
Kapela gra
Początek
2/10
aniołom szepnij to
Piękno tej niechcianej
SEN WE ŚNIE
BUJDA
ostatnia nadzieja
Koniec
Czesława
audi
Baczyński (Pisz do mnie listy)
oscar
Święty Graal
Heal Me
Szary świat
Eldorado
WILCZA ZAMIEĆ

